year_month,precip_mm_mensual
1991-01,21.4
1991-02,63.8
1991-03,104.3
1991-04,233.7
1991-05,291.1
1991-06,323.8
1991-07,376.3
1991-08,267.0
1991-09,143.5
1991-10,141.3
1991-11,135.0
1991-12,28.9
1992-01,43.7
1992-02,49.5
1992-03,97.2
1992-04,247.7
1992-05,237.2
1992-06,255.6
1992-07,343.6
1992-08,244.1
1992-09,199.0
1992-10,170.2
1992-11,156.0
1992-12,62.7
1993-01,114.8
1993-02,54.6
1993-03,184.8
1993-04,322.5
1993-05,367.1
1993-06,281.5
1993-07,369.0
1993-08,220.0
1993-09,191.2
1993-10,145.0
1993-11,164.2
1993-12,48.5
1994-01,53.3
1994-02,59.3
1994-03,154.7
1994-04,236.9
1994-05,382.5
1994-06,305.2
1994-07,327.8
1994-08,274.5
1994-09,160.9
1994-10,189.5
1994-11,123.3
1994-12,51.9
1995-01,43.2
1995-02,37.4
1995-03,163.4
1995-04,186.9
1995-05,306.7
1995-06,290.0
1995-07,162.3
1995-08,216.4
1995-09,165.5
1995-10,172.4
1995-11,101.4
1995-12,73.8
1996-01,40.2
1996-02,174.2
1996-03,112.5
1996-04,214.4
1996-05,354.5
1996-06,258.5
1996-07,322.9
1996-08,229.7
1996-09,143.1
1996-10,185.2
1996-11,159.1
1996-12,104.4
1997-01,34.4
1997-02,92.0
1997-03,73.3
1997-04,224.9
1997-05,378.0
1997-06,336.9
1997-07,267.6
1997-08,207.5
1997-09,129.3
1997-10,128.4
1997-11,114.8
1997-12,27.9
1998-01,37.5
1998-02,94.4
1998-03,123.3
1998-04,238.0
1998-05,326.8
1998-06,281.1
1998-07,389.3
1998-08,255.2
1998-09,136.9
1998-10,179.5
1998-11,137.2
1998-12,108.7
1999-01,59.7
1999-02,96.9
1999-03,145.5
1999-04,413.9
1999-05,278.4
1999-06,344.9
1999-07,228.4
1999-08,215.9
1999-09,233.7
1999-10,307.5
1999-11,249.1
1999-12,101.0
2000-01,52.1
2000-02,92.2
2000-03,132.6
2000-04,204.6
2000-05,433.0
2000-06,281.8
2000-07,323.0
2000-08,324.6
2000-09,217.1
2000-10,185.6
2000-11,220.5
2000-12,135.2
2001-01,23.3
2001-02,52.6
2001-03,132.9
2001-04,190.5
2001-05,336.3
2001-06,293.2
2001-07,279.9
2001-08,249.4
2001-09,264.1
2001-10,157.1
2001-11,208.5
2001-12,150.6
2002-01,28.7
2002-02,35.0
2002-03,206.8
2002-04,296.5
2002-05,371.4
2002-06,336.6
2002-07,317.0
2002-08,250.5
2002-09,184.6
2002-10,178.3
2002-11,137.6
2002-12,54.5
2003-01,13.4
2003-02,52.0
2003-03,177.2
2003-04,225.4
2003-05,258.2
2003-06,275.7
2003-07,221.7
2003-08,252.5
2003-09,191.0
2003-10,181.6
2003-11,188.8
2003-12,96.2
2004-01,35.0
2004-02,113.6
2004-03,158.6
2004-04,277.9
2004-05,445.0
2004-06,434.3
2004-07,352.7
2004-08,237.9
2004-09,193.1
2004-10,190.3
2004-11,158.8
2004-12,70.4
2005-01,61.6
2005-02,119.5
2005-03,122.1
2005-04,296.9
2005-05,399.4
2005-06,268.0
2005-07,234.7
2005-08,217.8
2005-09,212.8
2005-10,233.9
2005-11,219.4
2005-12,32.0
2006-01,97.4
2006-02,33.5
2006-03,231.2
2006-04,306.3
2006-05,285.4
2006-06,321.3
2006-07,234.5
2006-08,194.0
2006-09,139.6
2006-10,216.9
2006-11,164.3
2006-12,60.5
2007-01,18.7
2007-02,40.8
2007-03,155.4
2007-04,273.6
2007-05,313.5
2007-06,343.4
2007-07,191.0
2007-08,251.9
2007-09,156.4
2007-10,197.6
2007-11,155.1
2007-12,81.7
2008-01,41.3
2008-02,51.9
2008-03,83.4
2008-04,141.1
2008-05,334.3
2008-06,404.4
2008-07,350.7
2008-08,229.2
2008-09,227.7
2008-10,170.9
2008-11,222.0
2008-12,67.9
2009-01,76.2
2009-02,56.8
2009-03,129.3
2009-04,260.5
2009-05,176.7
2009-06,335.0
2009-07,304.3
2009-08,251.5
2009-09,156.6
2009-10,166.1
2009-11,106.7
2009-12,43.4
2010-01,16.5
2010-02,105.7
2010-03,182.4
2010-04,276.4
2010-05,335.3
2010-06,335.4
2010-07,329.6
2010-08,160.9
2010-09,145.3
2010-10,197.0
2010-11,218.2
2010-12,136.9
2011-01,57.0
2011-02,98.5
2011-03,197.6
2011-04,299.5
2011-05,323.9
2011-06,292.4
2011-07,210.2
2011-08,199.5
2011-09,218.7
2011-10,238.9
2011-11,212.6
2011-12,104.5
2012-01,35.8
2012-02,65.6
2012-03,250.3
